t,x1,x2
6.868686868686869618e-01,-1.471631228250044776e+00,-4.267119284042074079e-01
6.969696969696970168e-01,-1.535738391594598573e+00,-3.515592758136115714e-01
7.070707070707071829e-01,-1.590623118813281334e+00,-2.797191092089156839e-01
7.171717171717172379e-01,-1.635224522086346166e+00,-2.108202096244559676e-01
7.272727272727272929e-01,-1.668663298055462985e+00,-1.443325010914298101e-01
7.373737373737374590e-01,-1.690270557783331906e+00,-7.959837049245206686e-02
7.474747474747475140e-01,-1.699609829059685939e+00,-1.586875957892686789e-02
7.575757575757576801e-01,-1.696491444583250185e+00,4.765732493338219189e-02
7.676767676767677351e-01,-1.680978801578479453e+00,1.117913612684928448e-01
7.777777777777777901e-01,-1.653386269005894249e+00,1.773134709420683686e-01
7.878787878787879562e-01,-1.614268817205396278e+00,2.449317482114519162e-01
7.979797979797980112e-01,-1.564403740790818453e+00,3.152442807956314375e-01
8.080808080808081773e-01,-1.504765128206583702e+00,3.887052844129937901e-01
8.181818181818182323e-01,-1.436491990362890103e+00,4.655966244453402791e-01
8.282828282828283983e-01,-1.360851186835794202e+00,5.460058025780515356e-01
8.383838383838384534e-01,-1.279196473094777353e+00,6.298112516557262675e-01
8.484848484848485084e-01,-1.192925129429512010e+00,7.166755167135396842e-01
8.585858585858586745e-01,-1.103433716742631798e+00,8.060466137892858818e-01
8.686868686868687295e-01,-1.012074533114132091e+00,8.971675610446390170e-01
8.787878787878788955e-01,-9.201143169982243242e-01,9.890937796698082707e-01
8.888888888888889506e-01,-8.286966591096949220e-01,1.080717775756442345e+00
8.989898989898991166e-01,-7.388094485332592498e-01,1.170800249154315908e+00
9.090909090909091717e-01,-6.512584942906228802e-01,1.258006540869726297e+00
9.191919191919192267e-01,-5.666482381961885917e-01,1.340947135300576853e+00
9.292929292929293927e-01,-4.853702164793662899e-01,1.418220784601247564e+00
9.393939393939394478e-01,-4.075996456949583790e-01,1.488458725124841120e+00
9.494949494949496138e-01,-3.333002130813830233e-01,1.550368413729902084e+00
9.595959595959596689e-01,-2.622368534417763852e-01,1.602775226297830535e+00
9.696969696969697239e-01,-1.939960045948964373e-01,1.644660631571083886e+00
9.797979797979798899e-01,-1.280125619594100761e-01,1.675195477844775738e+00
9.898989898989899450e-01,-6.360250971318910651e-02,1.693767203640597518e+00
1.000000000000000000e+00,-2.449293598294706414e-16,1.699999999999999956e+00
